content_partner,primary_collection,items_total,digitalnz_usage_buckets,archive_tier,recommendation,rights_evidence,existing_archive_coverage,duplication_decision
University of Waikato,Māori Postcards ca. 1890-1940,146,Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Ministry of Fisheries Te Tautiaki i nga tini a Tangaroa,NABIS,652,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
National Army Museum,National Army Museum,14035,All rights reserved | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
The Treasury,National Infrastructure Unit,1,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
National Library of New Zealand,National Library of New Zealand Catalogue,97063,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
National Library of New Zealand,National Library of New Zealand YouTube,130,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Torpedo Bay Navy Museum,Navy Museum Medal Collection,186,All rights reserved | Modify | Share | Unknown | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Nelson Photo News,Nelson Photo News,8222,Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Nelson Provincial Museum,Nelson Provincial Museum,153109,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
New Zealand Cricket Museum,New Zealand Cricket Museum,1004,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Victoria University of Wellington,New Zealand Electronic Text Collection,180504,All rights reserved | Modify | Share | Unknown | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
New Zealand Fashion Museum,New Zealand Fashion Museum,1955,All rights reserved | Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Department of Internal Affairs,New Zealand Gazette,218771,Modify | Share | Use commercially,metadata_and_notice_text,"Archive metadata and published notice text with DIA attribution; exclude logos, emblems, trademarks, site design, and any material removed or redacted for privacy.",Gazette copyright and submission terms license Gazette material for reuse under CC BY 3.0 NZ.,HF edithatogo/digitalnz (facet metadata only); HF edithatogo/courts-nz-public-notices-archive (different courts-notices corpus; do not merge).,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
New Zealand Journal of Forestry Science,New Zealand Journal of Forestry Science,94,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
The University of Auckland Library,New Zealand Journal of History,2134,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
New Zealand Maritime Museum,New Zealand Maritime Museum,1150,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
New Zealand Plant Conservation Network,New Zealand Plant Conservation Network,3323,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
New Zealand Portrait Gallery Te Pūkenga Whakaata,New Zealand Portrait Gallery NZMuseums,209,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
New Zealand Plant Conservation Network,New Zealand Regional Botanical Society Journals,2841,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
New Zealand Taxation,New Zealand Taxation,723,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
TV3,Newshub,31291,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Nga Manu Nature Reserve,Nga Manu Nature Reserve Flickr,851,All rights reserved | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Ngā Pae o te Māramatanga,Ngā Pae o te Māramatanga Media Centre,320,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Ngā Taonga Sound & Vision,Ngā Taonga Sound & Vision,7726,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
NIWA,NIWA YouTube,383,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
The New Zealand Nursing Education and Research Foundation,Nursing Education and Research Foundation - Nursing Oral Histories in NZ,308,Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Paul Spain,NZ Business Podcast,55,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Paul Spain,NZ Digital Podcast,10,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
NZ Musician,NZ Musician,1003,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
NZ On Screen,NZ On Screen,5556,All rights reserved | Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
New Zealand Film Commission,NZ On Screen,352,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Paul Spain,NZ Tech Podcast,554,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
NZEI Te Riu Roa (New Zealand Educational Institute),NZEI Heritage,5126,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Manaaki Whenua – Landcare Research,NZFUNGI,8674,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
New Zealand Plant Conservation Network,NZPCN E-Newsletters,196,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Otago Medical School Alumni Association,OMSAA Historical Artefacts,2302,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Victoria University of Wellington,Open Access Victoria University of Wellington,1062,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Open Polytechnic,Open Polytechnic Repository,1742,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Otago,Otago University Research Archive,9054,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Otago,Otago University Research Heritage,4968,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Our Wāhine,Our Wāhine,70,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
National Library of New Zealand,Papers Past,26122911,All rights reserved | Modify | Share | Use commercially,metadata_and_item_level_payload,"Archive metadata and source URLs. Copy OCR, page images, and PDFs only where the individual item/provider terms are permissive or the item is public domain; do not treat collection-level usage as a blanket licence.",National Library states copyright varies by item and source.,HF edithatogo/digitalnz preserves the DigitalNZ facet snapshot; no Papers Past payload corpus was found in the checked estate.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Otago,Patterns for Fabric Anatomy Teaching Models,6,Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Wairarapa Archive,Picture Wairarapa,24238,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Plant & Food Research,Plant & Food Research YouTube,157,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Play It Strange,Play It Strange,754,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Powerhouse Museum,Powerhouse Museum,300,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Presbyterian Church of Aotearoa New Zealand,Presbyterian Research Centre,12276,Modify | Share | Unknown,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
PSA Journal,PSA Journal,1044,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Public Address,Public Address,5795,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Institute of Environmental Science and Research Ltd (ESR),Public Health Surveillance reports,262,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Ministry of Health,Public Health Surveillance reports,262,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Waikato,Publications,3,Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Puke Ariki,Puke Ariki,141428,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
UC QuakeStudies,QuakeStudies Repository,128977,All rights reserved | Modify | Share | Unknown | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Radio New Zealand,Radio New Zealand,738524,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Radio New Zealand,Radio New Zealand YouTube,5245,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Raglan and District Museum,Raglan and District Museum NZMuseums,210,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Remuera Heritage,Remuera Heritage,295,Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Waikato,ResearchCommons@Waikato,12433,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
The University of Auckland Library,ResearchSpace@Auckland,34178,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
